region,party,votes,votes_pct
"North Central",apc,1760993,38.58
"North Central",lp,1415557,31.01
"North Central",pdp,1162087,25.46
"North Central",others,165638,3.63
"North Central",nnpp,60057,1.32
"North East",pdp,1741846,50.64
"North East",apc,1185458,34.46
"North East",lp,315107,9.16
"North East",nnpp,126343,3.67
"North East",others,70987,2.06
"North West",apc,2652235,39.64
"North West",pdp,2329540,34.82
"North West",nnpp,1268250,18.96
"North West",lp,350182,5.23
"North West",others,90415,1.35
"South East",lp,1960589,87.80
"South East",apc,127605,5.71
"South East",pdp,91198,4.08
"South East",others,45387,2.03
"South East",nnpp,8227,0.37
"South South",lp,1210675,42.37
"South South",apc,799957,27.99
"South South",pdp,717908,25.12
"South South",others,111933,3.92
"South South",nnpp,17167,0.60
"South West",apc,2279407,53.59
"South West",pdp,941941,22.15
"South West",lp,846478,19.90
"South West",others,168972,3.97
"South West",nnpp,16644,0.39
